attendance,midterm,final,assign_avg,participation,study_hours,age,gender,weighted_score,lulus
89.90954153011234,90.99033154879004,61.87232587538428,52.10630930547131,52.73012790070132,6.304961271909187,23,1,71.62870669028699,1
84.25975698828815,83.86950524369153,69.83221993926723,64.67537987064597,69.37593022121833,6.186343566464584,18,1,74.88582108236994,1
90.11928538100692,70.89445554880261,60.11370118500058,70.03673359894027,70.36033744088893,0.8174273094799398,24,0,66.4429697975042,1
100.0,60.295948334416394,67.38057705541439,97.65225188808228,79.45260691686812,6.679639233194251,23,0,68.78109603642736,1
83.00086625276664,80.47334970420386,43.59577999569321,81.6786374944051,42.66283273438347,10.93131632728698,20,1,62.06179890283768,0
83.6010304305082,75.90228078132624,75.19940561059408,58.9742211708013,81.85134547694662,2.9030715236928195,22,1,74.52323122154291,1
98.1424,83.42789830041599,72.01808213043337,80.83243547301164,15.912167367944498,12.19393060420237,24,0,71.85285245643536,1
92.51674729152909,79.52757702522955,59.74367053397714,56.43235213273961,57.40230895272379,9.951099284337353,25,0,67.09196513222902,1
79.44765614065048,85.74329072979003,81.88868502648607,87.99229264664488,60.23452315096911,5.063066712115848,18,1,81.87547188227185,1
91.16800043585965,61.97147182659148,86.06355206439838,69.34650417818546,82.66653652142477,7.43388145064861,25,0,74.41531362635698,1
81.50822307187538,89.76091098451488,47.88660203446538,73.87636573512995,70.45261705353738,14.393287230564132,23,0,69.49190348645884,1
80.48510246429743,72.963994070386,60.55912832150679,90.90955977050628,41.88873892287427,10.934191254023464,23,0,66.68907882609517,1
87.36202271566034,100.0,60.46286475319053,59.554037176989,50.3001374836597,8.035134619592592,20,0,75.17056336734109,1
66.50959755342201,59.66218272865648,57.90145348336703,58.234581778644106,73.97360019094813,7.049266732156063,25,1,60.24627268176863,0
66.89322167486966,96.03945704747875,84.44212262897622,67.99680808384794,68.41865316270888,8.306436281806638,21,0,85.83417799523767,0
80.01952470759026,72.96866175193972,69.09260791840795,87.4605462122318,58.41751780728507,5.952945768230786,22,1,71.41231427009077,1
75.21408879665576,60.22872994578327,68.03227738034084,56.76784709427789,60.38332420976042,0.0,25,0,63.01952006085349,0
89.28487332595273,62.741712489185176,41.9420645338987,41.014132822673176,83.92335994318577,16.168711642138923,21,0,54.367260085819446,0
76.86215924478789,65.1947903770852,81.53127045313839,69.58609369909202,59.646148542615705,8.621299996797607,18,0,71.6136485562602,1
70.01936298664708,76.36248919602875,53.41112407719791,81.62088959893104,68.23817511941853,9.592589060490148,22,1,66.89535178112561,1
99.49888768921554,77.8425323205325,72.89898945399493,89.40314099686594,100.0,7.768369000492365,25,1,79.23692280949756,1
82.58463699513464,61.394499940921314,76.16065406937288,69.44206365497521,41.526347262321536,5.059532797101648,20,0,66.11890269584735,1
86.01768204687923,69.63468111608526,92.40987893757976,70.06288071460797,32.96314536850683,7.256302076204917,18,1,75.1204266297775,1
71.09491813786543,100.0,52.367694013213324,88.84680881106897,85.67179329597214,1.6024209512227552,22,1,78.39893781598944,1
79.39857275474817,95.91314755151066,26.707317662687622,52.563099603654955,56.427138774117935,17.108345992213216,25,1,59.9472099234566,0
86.25162589709866,76.54485504511048,74.75774317130542,70.33775069780388,63.63524944514759,3.061952006310416,25,0,73.91833930086152,1
71.63246422577697,70.570052172523,99.0076677226628,77.28508667910069,54.37687243737771,3.872134864611282,22,1,80.99728386972215,1
89.89938018345671,71.80046990077392,90.58419529409156,80.39062465542041,64.80399718464975,6.238963182454398,21,0,79.47332826195321,1
79.13601310081195,79.20276959095625,75.14489122911938,68.8823196817094,100.0,13.15230289940951,18,0,78.6272962962012,1
81.92546250206723,54.658111522023916,64.62545721551929,75.41329214047009,86.04256917236239,8.058035997050617,20,1,63.85901362630054,0
78.92533387770604,66.13935193864982,84.10683894955966,45.140071759044126,87.24447023773953,3.0554568158781503,20,0,73.33693055496215,1
98.6424,44.97123889183616,57.39680700443297,67.10101905199382,41.67545888414709,13.017353443029357,18,0,51.82486615212174,0
85.50742775262066,75.98834683907918,79.14536654034329,80.44210455065361,46.976925268942615,10.924002507141925,18,0,74.79538833372861,1
72.56529071044099,79.70793909554112,79.5820523874994,63.21247158894384,13.218426810291461,10.15373982886581,23,1,71.35908643313974,1
93.16784912103189,62.75220306550939,87.90314861248319,75.70781065907516,53.81238357834492,10.862936964683362,19,1,73.21416009493903,1
71.43396350028978,93.6098014493505,100.0,80.36247000963237,89.13406372771317,17.577447602329805,25,0,94.39357395347476,1
88.23103595004756,51.61351505496488,77.88623950768151,70.88940958970682,80.33893031496741,16.74037958014445,21,1,66.92273581552598,1
65.74569876120225,48.0343767968527,64.36554561438751,77.04556525195885,65.56973474095753,5.253138627986819,18,0,59.221498963787724,0
72.36053951101569,73.36677727839958,71.61638531712008,63.44720921658465,69.55399432563894,14.49553997124461,18,0,71.29338539243022,1
85.61101235869123,85.70647453918232,45.46386142666323,72.52066464364744,56.22228914849189,9.532672759035602,19,1,65.34242976555215,1
93.0270657999541,95.25891537186803,61.579303033664125,82.32259403507067,74.09517764803569,9.996383264550998,19,0,78.3770645305235,1
86.5560828118997,63.1167360569659,65.86076342830344,76.88367553162121,85.3175655896123,1.2309166734266856,22,0,67.8111239062311,1
82.4859171761176,86.18021250146944,64.13867403098111,67.96162476523277,37.68226425179054,7.318456938447216,24,0,70.69194351468255,1
81.1313630441071,69.42237295748939,74.28532308050583,77.69059685148952,75.99295375674696,4.748705638653741,20,1,72.85143347602174,1
71.15718009632573,67.41059050088771,59.66370101426699,83.57531748763941,88.64869741909334,11.312235259573237,21,0,68.05211809673516,1
78.74395791605292,83.25489906230008,88.81546000986707,50.400704657070264,61.69799422073261,12.28432200161122,22,1,80.03801351664717,1
81.53601229040213,79.78484317620129,72.00310597377296,88.90888877947077,84.01401224241167,0.0,18,1,78.00746976217795,1
95.91362226218915,46.35411764523626,71.86049518292079,70.96494313582714,100.0,7.911860543982918,25,0,64.38233944484554,0
89.17858289568461,92.14810524588844,67.08157925230623,80.10587919888276,67.91314414026216,12.487446019177009,19,1,78.49377613319237,1
68.51199844637266,90.70137031221176,74.32786025788468,89.36696308374273,77.86614100010647,7.25328415074622,23,0,82.73500263642352,0
88.98323969394795,60.61655947735706,84.37647397001452,58.53991563323441,55.23885832677217,10.916254580009458,20,0,69.37509077494929,1
80.29157719583684,75.93705300156114,58.9930467643365,66.48670797086945,73.625023252041,9.404661870508336,22,1,67.9832130286501,1
78.57317999694041,77.41045279424108,62.12825266387115,71.53741564949155,79.20543249964608,9.366640927810506,23,1,70.88976699815866,1
90.25916288840867,73.9101064873586,67.44410956835003,65.59495774650686,73.89684680540276,6.91474008772681,20,0,70.49086687747442,1
96.4523952249595,61.7454226923187,51.811936147901775,95.8192389100417,49.60609360582286,3.1336767834571617,24,0,59.96547678767466,0
